 127.0.0.1-- [2023_7_4_10_9_27] "GET /x HTTP/1.1" 404 520 "Mozilla/5.0"
 127.0.0.1-- [2023_7_4_10_9_27] "GET /css/style.css HTTP/1.1" 200 1277 "Mozilla/5.0" "http://127.0.0.1:8888/x"
 127.0.0.1-- [2023_7_4_10_9_27] "GET /css/error.css HTTP/1.1" 200 462 "Mozilla/5.0" "http://127.0.0.1:8888/x"
 127.0.0.1-- [2023_7_4_10_9_27] "GET /css/img/background.jpg HTTP/1.1" 200 2330063 "Mozilla/5.0" "http://127.0.0.1:8888/css/style.css"
 127.0.0.1-- [2023_7_4_10_10_30] "GET /index.html HTTP/1.1" 200 3287 "Mozilla/5.0" "http://127.0.0.1:8888/x"
 127.0.0.1-- [2023_7_4_10_10_30] "GET /css/style.css HTTP/1.1" 200 1277 "Mozilla/5.0" "http://127.0.0.1:8888/index.html"
 127.0.0.1-- [2023_7_4_10_10_30] "GET /css/index.css HTTP/1.1" 200 1005 "Mozilla/5.0" "http://127.0.0.1:8888/index.html"
 127.0.0.1-- [2023_7_4_10_10_30] "GET /css/img/background.jpg HTTP/1.1" 200 2330063 "Mozilla/5.0" "http://127.0.0.1:8888/css/style.css"
 127.0.0.1-- [2023_7_4_10_12_5] "GET /403.html HTTP/1.1" 200 520 "Mozilla/5.0"
 127.0.0.1-- [2023_7_4_10_12_5] "GET /css/style.css HTTP/1.1" 200 1277 "Mozilla/5.0" "http://127.0.0.1:8888/403.html"
 127.0.0.1-- [2023_7_4_10_12_5] "GET /css/error.css HTTP/1.1" 200 462 "Mozilla/5.0" "http://127.0.0.1:8888/403.html"
 127.0.0.1-- [2023_7_4_10_12_5] "GET /css/img/background.jpg HTTP/1.1" 200 2330063 "Mozilla/5.0" "http://127.0.0.1:8888/css/style.css"
 127.0.0.1-- [2023_7_4_10_16_55] "GET /index.html HTTP/1.1" 200 3287 "Mozilla/5.0" "http://127.0.0.1:8888/403.html"
 127.0.0.1-- [2023_7_4_10_16_55] "GET /css/style.css HTTP/1.1" 200 1277 "Mozilla/5.0" "http://127.0.0.1:8888/index.html"
 127.0.0.1-- [2023_7_4_10_16_55] "GET /css/index.css HTTP/1.1" 200 1005 "Mozilla/5.0" "http://127.0.0.1:8888/index.html"
 127.0.0.1-- [2023_7_4_10_16_56] "GET /css/img/background.jpg HTTP/1.1" 200 2330063 "Mozilla/5.0" "http://127.0.0.1:8888/css/style.css"
 127.0.0.1-- [2023_7_4_10_16_57] "GET /calculator.html HTTP/1.1" 200 830 "Mozilla/5.0" "http://127.0.0.1:8888/index.html"
 127.0.0.1-- [2023_7_4_10_16_57] "GET /css/style.css HTTP/1.1" 200 1277 "Mozilla/5.0" "http://127.0.0.1:8888/calculator.html"
 127.0.0.1-- [2023_7_4_10_16_57] "GET /css/cal.css HTTP/1.1" 200 572 "Mozilla/5.0" "http://127.0.0.1:8888/calculator.html"
 127.0.0.1-- [2023_7_4_10_16_58] "GET /css/img/background.jpg HTTP/1.1" 200 2330063 "Mozilla/5.0" "http://127.0.0.1:8888/css/style.css"
 127.0.0.1-- [2023_7_4_10_17_0] "POST /cgi-bin/calculator.py HTTP/1.1" 200 456 "Mozilla/5.0" "http://127.0.0.1:8888/calculator.html"
 127.0.0.1-- [2023_7_4_10_17_0] "GET /css/style.css HTTP/1.1" 200 1277 "Mozilla/5.0" "http://127.0.0.1:8888/cgi-bin/calculator.py"
 127.0.0.1-- [2023_7_4_10_17_0] "GET /css/cal.css HTTP/1.1" 200 572 "Mozilla/5.0" "http://127.0.0.1:8888/cgi-bin/calculator.py"
 127.0.0.1-- [2023_7_4_10_17_0] "GET /css/img/background.jpg HTTP/1.1" 200 2330063 "Mozilla/5.0" "http://127.0.0.1:8888/css/style.css"
 127.0.0.1-- [2023_7_4_10_17_1] "GET /calculator.html HTTP/1.1" 200 830 "Mozilla/5.0" "http://127.0.0.1:8888/cgi-bin/calculator.py"
 127.0.0.1-- [2023_7_4_10_17_1] "GET /css/style.css HTTP/1.1" 200 1277 "Mozilla/5.0" "http://127.0.0.1:8888/calculator.html"
 127.0.0.1-- [2023_7_4_10_17_1] "GET /css/cal.css HTTP/1.1" 200 572 "Mozilla/5.0" "http://127.0.0.1:8888/calculator.html"
 127.0.0.1-- [2023_7_4_10_17_1] "GET /css/img/background.jpg HTTP/1.1" 200 2330063 "Mozilla/5.0" "http://127.0.0.1:8888/css/style.css"
