 localhost-- [2023_7_3_23_0_29] "GET / HTTP/1.1" 200 3287 "Mozilla/5.0"
 localhost-- [2023_7_3_23_0_30] "GET /css/style.css HTTP/1.1" 200 1277 "Mozilla/5.0" "http://localhost:8888/"
 localhost-- [2023_7_3_23_0_30] "GET /css/index.css HTTP/1.1" 200 1005 "Mozilla/5.0" "http://localhost:8888/"
 localhost-- [2023_7_3_23_0_30] "GET /css/img/background.jpg HTTP/1.1" 200 2330063 "Mozilla/5.0" "http://localhost:8888/css/style.css"
 localhost-- [2023_7_3_23_3_23] "GET /calculator.html HTTP/1.1" 200 830 "Mozilla/5.0" "http://localhost:8888/"
 localhost-- [2023_7_3_23_3_23] "GET /css/style.css HTTP/1.1" 200 1277 "Mozilla/5.0" "http://localhost:8888/calculator.html"
 localhost-- [2023_7_3_23_3_23] "GET /css/cal.css HTTP/1.1" 200 572 "Mozilla/5.0" "http://localhost:8888/calculator.html"
 localhost-- [2023_7_3_23_3_24] "GET /css/img/background.jpg HTTP/1.1" 200 2330063 "Mozilla/5.0" "http://localhost:8888/css/style.css"
 localhost-- [2023_7_3_23_3_47] "GET /index.html HTTP/1.1" 200 3287 "Mozilla/5.0" "http://localhost:8888/calculator.html"
 localhost-- [2023_7_3_23_3_47] "GET /css/style.css HTTP/1.1" 200 1277 "Mozilla/5.0" "http://localhost:8888/index.html"
 localhost-- [2023_7_3_23_3_47] "GET /css/index.css HTTP/1.1" 200 1005 "Mozilla/5.0" "http://localhost:8888/index.html"
 localhost-- [2023_7_3_23_3_48] "GET /css/img/background.jpg HTTP/1.1" 200 2330063 "Mozilla/5.0" "http://localhost:8888/css/style.css"
 localhost-- [2023_7_3_23_3_48] "GET /dataQuery.html HTTP/1.1" 200 719 "Mozilla/5.0" "http://localhost:8888/index.html"
 localhost-- [2023_7_3_23_3_48] "GET /css/style.css HTTP/1.1" 200 1277 "Mozilla/5.0" "http://localhost:8888/dataQuery.html"
 localhost-- [2023_7_3_23_3_49] "GET /css/query.css HTTP/1.1" 200 572 "Mozilla/5.0" "http://localhost:8888/dataQuery.html"
 localhost-- [2023_7_3_23_3_49] "GET /css/img/background.jpg HTTP/1.1" 200 2330063 "Mozilla/5.0" "http://localhost:8888/css/style.css"
 localhost-- [2023_7_3_23_4_52] "GET /index.html HTTP/1.1" 200 3287 "Mozilla/5.0" "http://localhost:8888/dataQuery.html"
 localhost-- [2023_7_3_23_4_52] "GET /css/style.css HTTP/1.1" 200 1277 "Mozilla/5.0" "http://localhost:8888/index.html"
 localhost-- [2023_7_3_23_4_52] "GET /css/index.css HTTP/1.1" 200 1005 "Mozilla/5.0" "http://localhost:8888/index.html"
 localhost-- [2023_7_3_23_4_53] "GET /css/img/background.jpg HTTP/1.1" 200 2330063 "Mozilla/5.0" "http://localhost:8888/css/style.css"
 localhost-- [2023_7_3_23_4_53] "GET /calculator.html HTTP/1.1" 200 830 "Mozilla/5.0" "http://localhost:8888/index.html"
 localhost-- [2023_7_3_23_4_54] "GET /css/style.css HTTP/1.1" 200 1277 "Mozilla/5.0" "http://localhost:8888/calculator.html"
 localhost-- [2023_7_3_23_4_54] "GET /css/cal.css HTTP/1.1" 200 572 "Mozilla/5.0" "http://localhost:8888/calculator.html"
 localhost-- [2023_7_3_23_4_54] "GET /css/img/background.jpg HTTP/1.1" 200 2330063 "Mozilla/5.0" "http://localhost:8888/css/style.css"
