 127.0.0.1-- [2023_7_4_10_18_38] "GET /calculator.html HTTP/1.1" 200 830 "Mozilla/5.0" "http://127.0.0.1:8888/cgi-bin/calculator.py"
 127.0.0.1-- [2023_7_4_10_18_38] "GET /css/cal.css HTTP/1.1" 200 572 "Mozilla/5.0" "http://127.0.0.1:8888/calculator.html"
"
 127.0.0.1-- [2023_7_4_10_18_38] "GET /css/img/background.jpg HTTP/1.1" 200 2330063 "Mozilla/5.0" "http://127.0.0.1:8888/css/style.css"
 127.0.0.1-- [2023_7_4_10_18_39] "GET /index.html HTTP/1.1" 200 3287 "Mozilla/5.0" "http://127.0.0.1:8888/calculator.html"
 127.0.0.1-- [2023_7_4_10_18_39] "GET /css/style.css HTTP/1.1" 200 1277 "Mozilla/5.0" "http://127.0.0.1:8888/index.html"
 127.0.0.1-- [2023_7_4_10_18_39] "GET /css/index.css HTTP/1.1" 200 1005 "Mozilla/5.0" "http://127.0.0.1:8888/index.html"
 127.0.0.1-- [2023_7_4_10_18_39] "GET /css/img/background.jpg HTTP/1.1" 200 2330063 "Mozilla/5.0" "http://127.0.0.1:8888/css/style.css"
 Apifox/1.0.0 (https-- [2023_7_4_10_27_48] "PUT //index.html HTTP/1.1" 400 522 "Apifox/1.0.0"
 Apifox/1.0.0 (https-- [2023_7_4_10_31_41] "POST /calculator.html?op1=s&op2=y HTTP/1.1" 403 520 "Apifox/1.0.0"
 Apifox/1.0.0 (https-- [2023_7_4_10_32_12] "PUT //index.html HTTP/1.1" 400 522 "Apifox/1.0.0"
 Apifox/1.0.0 (https-- [2023_7_4_10_32_58] "POST /calculator.html?op1=s&op2=y HTTP/1.1" 403 520 "Apifox/1.0.0"
 Apifox/1.0.0 (https-- [2023_7_4_10_34_29] "POST /calculator.html?op1=s&op2=y HTTP/1.1" 403 520 "Apifox/1.0.0"
